ID,OrderId,UID,MID,Charge,TalkTime,Source,Country,UserSpend,MasterEarn,OrderStatus,Ender,Activity,Platform,CreateTime(IN),DialTime(IN),UnconnectTime(IN),ConnectTime(IN),HangUpTime(IN),RefundStatus,Review,,,ExotelCallId
3962895,64F4DA9D1C173234B280,3546256,619,23,1,Chat,1,23,11.5,HangUp,User,,IOS,2023-09-04 00:42:29,2023-09-04 00:42:31,,2023-09-04 00:42:33,2023-09-04 00:43:20,,No,,,
3962896,64F4DABC2FAA6148A890,613451,656,20,10,Chat,1,200,100,HangUp,User,,Android,2023-09-04 00:43:00,2023-09-04 00:43:05,,2023-09-04 00:43:07,2023-09-04 00:53:20,,No,,,
3962897,64F4DAE9BBB3D268E421,3546256,656,20,0,Call(queue),1,0,0,Create,User,,IOS,2023-09-04 00:43:45,,2023-09-04 00:46:43,,,,No,,,
3962898,64F4DAF23321E109Q631,3321123,1018,20,0,Call(queue),1,0,0,NoAnswer,User,,Android,2023-09-04 00:43:54,2023-09-04 02:14:26,2023-09-04 02:14:45,2023-09-04 02:14:40,,,No,,,110acc7311aabbbf328e6a6fbd0e1794
3962899,64F4DB09704D6829S941,3528544,1067,15,26,Chat,1,390,195,HangUp,Master,,Android,2023-09-04 00:44:17,2023-09-04 00:44:29,,2023-09-04 00:44:31,2023-09-04 01:10:44,,No,,,
3962900,64F4DB56B108D784K244,1704912,258,18,0,Chat,1,0,0,HangUp,User,Member,Android,2023-09-04 00:45:34,2023-09-04 00:45:50,,2023-09-04 00:45:52,2023-09-04 00:46:16,,No,,,
3962901,64F4DB7C2F7D7398P409,1136719,891,33,0,Call(queue),1,0,0,NoAnswer,Master,,Android,2023-09-04 00:46:12,,2023-09-04 00:47:28,,,,No,,,
3962902,64F4DB9C90F7D396S205,1704912,258,18,11,Call,1,198,79.2,HangUp,User,Member,Android,2023-09-04 00:46:44,2023-09-04 00:46:44,,2023-09-04 00:47:04,2023-09-04 00:59:04,,No,,,70771649f7d39d7b6c084c806a511794
3962903,64F4DBC18DC7C747C658,198635,575,21,5,Chat,1,105,52.5,HangUp,User,,Android,2023-09-04 00:47:21,2023-09-04 00:47:28,,2023-09-04 00:47:30,2023-09-04 00:52:39,,Yes,,,
3962904,64F4DBC254FFD669M233,3546256,553,33,0,Call,1,0,0,HangUp,User,,IOS,2023-09-04 00:47:22,2023-09-04 00:47:22,,2023-09-04 00:47:34,2023-09-04 00:47:57,,No,,,8161c2c05cffb3f64b28ae3fcaea1794
3962905,64F4DBC719832831L349,2579139,1087,15,13.53333,Chat,1,203,84,HangUp,User,,Android,2023-09-04 00:47:27,2023-09-04 00:47:31,,2023-09-04 00:47:33,2023-09-04 01:01:07,,Yes,,,
3962906,64F4DBCD64060859J257,2863547,1073,18,12,Chat,1,216,108,HangUp,User,,Android,2023-09-04 00:47:33,2023-09-04 00:47:41,,2023-09-04 00:47:43,2023-09-04 00:59:57,,No,,,
